trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
118,289.5759,-57215.2454,-56925.6695,57216.0457,290.3762,0.3001,290.6763,0.3668,-275,0,275,0.1921,0;0.5;0,1,290.2809,1.0,538.0,-155.0,1,1
119,291.0432,-57216.7127,-56925.6695,57217.7464,292.0769,0.3001,292.3770,0.3668,275,0.05,-275,0.0529,1;0;0,0,291.9900,1.0,533.0,-145.0,1,0
120,292.7438,-57218.4134,-56925.6695,57219.0469,293.3774,0.3001,293.6776,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,293.2907,0.0,-518.0,-126.0,1,1
121,294.0444,-57219.7139,-56925.6695,57220.3808,294.7113,0.3001,295.0114,0.3668,-275,0.05,275,0.2421,0;0.5;0,1,294.6244,1.0,552.0,-147.0,1,1
122,295.3782,-57221.0478,-56925.6695,57221.7647,296.0952,0.3001,296.3953,0.3668,-275,0.2,275,0.75,0;0.5;0,1,296.0083,1.0,556.0,-151.0,1,1
123,296.7621,-57222.4317,-56925.6695,57223.3987,297.7292,0.3001,298.0293,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,297.6340,1.0,547.0,-153.0,1,1
124,298.3961,-57224.0656,-56925.6695,57224.8493,299.1798,0.3001,299.4799,0.3668,-275,0.2,275,0.2671,0;0.5;0,1,299.0846,1.0,532.0,-149.0,1,1
125,299.8467,-57225.5162,-56925.6695,57227.9839,302.3144,0.3001,302.6145,0.3668,275,0.05,-275,0.0582,1;0;0,0,302.2192,1.0,539.0,-148.0,1,0
126,302.9813,-57228.6508,-56925.6695,57229.3178,303.6483,0.3001,303.9484,0.3668,275,0.45,-275,0.4582,0;0.5;0,0,303.5614,0.0,-460.0,-135.0,1,1
127,304.3152,-57229.9847,-56925.6695,57231.0018,305.3323,0.3001,305.6324,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,305.2370,1.0,540.0,-142.0,1,1
128,305.9992,-57231.6687,-56925.6695,57233.6695,308.0000,0.3001,308.3001,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,307.9049,1.0,542.0,-147.0,1,1
129,308.6670,-57234.3365,-56925.6695,57236.6541,310.9846,0.3001,311.2847,0.3668,-275,0,275,0.0671,0;0.5;0,1,310.8977,1.0,509.0,-147.0,1,1
130,311.6515,-57237.3210,-56925.6695,57239.4302,313.7607,0.3001,314.0608,0.3585,275,0,-275,0.0671,1;0;0,0,313.6571,1.0,514.0,-144.0,1,0
131,314.4193,-57240.0888,-56925.6695,57241.2059,315.5364,0.3001,315.8365,0.3668,275,0.0088,-275,0.0117,0;0.5;0,0,315.4495,0.0,-442.0,-141.0,1,1
132,316.2034,-57241.8729,-56925.6695,57242.9900,317.3205,0.3001,317.6206,0.3668,-275,0.0167,275,0.0177,0;0.5;0,1,317.2335,1.0,532.0,-147.0,1,1
133,317.9874,-57243.6569,-56925.6695,57244.8074,319.1379,0.3001,319.4380,0.3668,275,0.05,-275,0.0735,0;0.5;0,0,319.0427,0.0,-480.0,-129.0,1,1
134,319.8048,-57245.4743,-56925.6695,57246.3580,320.6885,0.3001,320.9886,0.3668,-275,0.45,275,0.5171,0;0.5;0,1,320.6015,1.0,540.0,-146.0,1,1
135,321.3554,-57247.0250,-56925.6695,57247.8586,322.1891,0.3001,322.4892,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,322.1022,1.0,528.0,-143.0,1,1
136,322.8560,-57248.5256,-56925.6695,57249.1258,323.4563,0.3001,323.7564,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,323.3610,0.0,-489.0,-128.0,1,1
137,324.1232,-57249.7927,-56925.6695,57251.7102,326.0407,0.3001,326.3408,0.3668,275,0.0088,-275,0.0098,1;0;0,0,325.9453,1.0,533.0,-136.0,1,0
138,326.7076,-57252.3771,-56925.6695,57253.0607,327.3912,0.3001,327.6913,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,327.3044,0.0,-506.0,-124.0,1,1
139,328.0582,-57253.7277,-56925.6695,57254.9948,329.3253,0.3001,329.6255,0.3668,-275,0.0167,275,0.0177,1;0;0,1,329.2301,0.0,-510.0,-124.0,1,0
140,329.9923,-57255.6618,-56925.6695,57256.6455,330.9760,0.3001,331.2761,0.3668,-275,0.2,275,0.2671,0;0.5;0,1,330.8808,1.0,515.0,-141.0,1,1
141,331.6429,-57257.3125,-56925.6695,57258.1628,332.4933,0.3001,332.7934,0.3668,275,0.45,-275,0.4735,0;0.5;0,0,332.3981,0.0,-510.0,-126.0,1,1
142,333.1602,-57258.8297,-56925.6695,57259.8802,334.2106,0.3001,334.5108,0.3668,275,0.0167,-275,0.0402,1;0;0,0,334.1238,1.0,531.0,-138.0,1,0
143,334.8776,-57260.5471,-56925.6695,57261.2140,335.5445,0.3001,335.8446,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,335.4576,0.0,-512.0,-127.0,1,1
144,336.2115,-57261.8810,-56925.6695,57263.3316,337.6620,0.3001,337.9622,0.3668,-275,0,275,0.0082,1;0;0,1,337.5752,0.0,-513.0,-125.0,1,0
145,338.3290,-57263.9985,-56925.6695,57264.6488,338.9792,0.3001,339.2794,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,338.8841,1.0,538.0,-139.0,1,1
146,339.6462,-57265.3157,-56925.6695,57267.1664,341.4969,0.3001,341.7971,0.3668,-275,0.0167,275,0.0249,0;0.5;0,1,341.4100,1.0,547.0,-142.0,1,1
147,342.1639,-57267.8334,-56925.6695,57268.9213,343.2518,0.3001,343.5519,0.3668,275,0.05,-275,0.0582,1;0;0,0,343.1524,1.0,534.0,-138.0,1,0
148,343.9187,-57269.5883,-56925.6695,57270.3219,344.6524,0.3001,344.9525,0.3668,275,0.2,-275,0.2082,0;0.5;0,0,344.5530,0.0,-513.0,-126.0,1,1
149,345.3193,-57270.9888,-56925.6695,57271.9225,346.2530,0.3001,346.5531,0.3626,-275,0.45,275,0.5171,1;0;0,1,346.1620,0.0,-513.0,-128.0,1,0
150,346.9158,-57272.5853,-56925.6695,57273.4357,347.7661,0.3001,348.0663,0.3668,275,0.45,-275,0.4582,1;0;0,0,347.6794,1.0,534.0,-142.0,1,0
151,348.4331,-57274.1026,-56925.6695,57275.4531,349.7836,0.3001,350.0837,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,349.6967,0.0,-485.0,-133.0,1,1
152,350.4506,-57276.1201,-56925.6695,57277.6874,352.0179,0.3001,352.3180,0.3668,275,0.2,-275,0.2235,0;0.5;0,0,351.9310,0.0,-495.0,-131.0,1,1
153,352.6848,-57278.3543,-56925.6695,57281.1721,355.5026,0.3001,355.8027,0.3668,275,0,-275,0.001,0;0.5;0,0,355.4073,0.0,-481.0,-133.0,1,1
154,356.1695,-57281.8391,-56925.6695,57283.6898,358.0203,0.3001,358.3204,0.3668,275,0.0167,-275,0.0249,0;0.5;0,0,357.9335,0.0,-486.0,-132.0,1,1
155,358.6872,-57284.3567,-56925.6695,57285.6739,360.0044,0.3001,360.3046,0.3668,275,0.2,-275,0.2235,0;0.5;0,0,359.9174,0.0,-490.0,-133.0,1,1
156,360.6714,-57286.3409,-56925.6695,57287.7915,362.1220,0.3001,362.4221,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,362.0267,0.0,-485.0,-139.0,1,1
157,362.7889,-57288.4584,-56925.6695,57289.3421,363.6726,0.3001,363.9727,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,363.5774,1.0,538.0,-143.0,1,1
158,364.3395,-57290.0090,-56925.6695,57290.7760,365.1065,0.3001,365.4066,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,365.0113,0.0,-499.0,-131.0,1,1
159,365.7734,-57291.4429,-56925.6695,57292.5934,366.9239,0.3001,367.2240,0.3668,-275,0.05,275,0.6,0;0.5;0,1,366.8370,1.0,551.0,-143.0,1,1
160,367.5908,-57293.2604,-56925.6695,57294.7109,369.0414,0.3001,369.3415,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,368.9462,1.0,557.0,-144.0,1,1
161,369.7084,-57295.3779,-56925.6695,57296.5617,370.8922,0.3001,371.1923,0.3668,-275,0.05,275,0.0735,0;0.5;0,1,370.7969,1.0,559.0,-151.0,1,1
162,371.5591,-57297.2286,-56925.6695,57297.9789,372.3094,0.3001,372.6095,0.3668,275,0.2,-275,0.2082,0;0.5;0,0,372.2226,0.0,-505.0,-129.0,1,1
163,372.9764,-57298.6459,-56925.6695,57299.4462,373.7767,0.3001,374.0768,0.3668,-275,0.45,275,0.4735,0;0.5;0,1,373.6897,1.0,557.0,-145.0,1,1
164,374.4436,-57300.1131,-56925.6695,57301.0468,375.3773,0.3001,375.6774,0.3668,275,0,-275,0.0235,0;0.5;0,0,375.2821,0.0,-500.0,-133.0,1,1
165,376.0443,-57301.7138,-56925.6695,57302.5141,376.8446,0.3001,377.1447,0.3668,-275,0.2,275,0.75,0;0.5;0,1,376.7578,1.0,573.0,-145.0,1,1
166,377.5115,-57303.1810,-56925.6695,57304.5483,378.8787,0.3001,379.1789,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,378.7834,0.0,-479.0,-133.0,1,1
167,379.5457,-57305.2152,-56925.6695,57307.1660,381.4965,0.3001,381.7966,0.3668,-275,0,275,0.0029,0;0.5;0,1,381.4095,1.0,571.0,-148.0,1,1
168,382.1634,-57307.8329,-56925.6695,57308.6166,382.9471,0.3001,383.2472,0.3668,275,0,-275,0.0671,0;0.5;0,0,382.8601,0.0,-502.0,-133.0,1,1
169,383.6140,-57309.2835,-56925.6695,57310.0338,384.3643,0.3001,384.6644,0.3668,275,0.05,-275,0.1171,1;0;0,0,384.2690,1.0,567.0,-144.0,1,0
170,385.0312,-57310.7007,-56925.6695,57312.2847,386.6152,0.3001,386.9153,0.3668,-275,0,275,0.0235,0;0.5;0,1,386.5286,1.0,568.0,-144.0,1,1
171,387.2821,-57312.9517,-56925.6695,57313.7061,388.0366,0.2960,388.3326,0.3668,-275,0.2,275,0.75,0;0.5;0,1,387.9373,1.0,571.0,-145.0,1,1
172,388.6994,-57314.3689,-56925.6695,57315.1859,389.5164,0.3001,389.8165,0.3668,-275,0.2,275,0.2671,0;0.5;0,1,389.4211,1.0,576.0,-148.0,1,1
173,390.1833,-57315.8528,-56925.6695,57316.8199,391.1504,0.3001,391.4505,0.3668,275,0.2,-275,0.2082,1;0;0,0,391.0635,1.0,576.0,-142.0,1,0
174,391.8173,-57317.4868,-56925.6695,57318.1704,392.5009,0.3001,392.8010,0.3668,275,0.45,-275,0.4735,0;0.5;0,0,392.4056,0.0,-500.0,-132.0,1,1
175,393.1679,-57318.8374,-56925.6695,57319.6044,393.9348,0.3001,394.2350,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,393.8395,0.0,-495.0,-134.0,1,1
176,394.6018,-57320.2713,-56925.6695,57321.4051,395.7356,0.3001,396.0357,0.3668,275,0.0167,-275,0.0196,1;0;0,0,395.6402,1.0,580.0,-144.0,1,0
177,396.4025,-57322.0720,-56925.6695,57323.5226,397.8531,0.3001,398.1532,0.3668,-275,0.0167,275,0.0249,0;0.5;0,1,397.7662,1.0,563.0,4.0,1,1
178,398.5200,-57324.1895,-56925.6695,57324.5730,398.9035,0.3001,399.2036,0.3668,275,0.0167,-275,0.0177,0;0.5;0,0,398.8168,0.0,-514.0,-758.0,1,1
179,399.5705,-57325.2400,-56925.6695,57325.3567,399.6872,0.3001,399.9873,0.3668,-275,0.2,275,0.3921,1;0;0,1,399.6003,0.0,-536.0,-775.0,1,0
180,400.3541,-57326.0236,-56925.6695,57327.5909,401.9214,0.3001,402.2215,0.3668,-275,0.2,275,0.2235,0;0.5;0,1,401.8261,1.0,442.0,-130.0,1,1
181,402.5883,-57328.2579,-56925.6695,57328.9415,403.2720,0.3001,403.5721,0.3668,-275,0.0167,275,0.2088,0;0.5;0,1,403.1851,1.0,452.0,-124.0,1,1
182,403.9389,-57329.6084,-56925.6695,57330.3420,404.6725,0.3001,404.9726,0.3668,-275,0,275,0.1921,0;0.5;0,1,404.5774,1.0,448.0,-131.0,1,1
183,405.3395,-57331.0090,-56925.6695,57331.8093,406.1398,0.3001,406.4399,0.3668,275,0.0167,-275,0.0838,0;0.5;0,0,406.0444,0.0,-461.0,-84.0,1,1
184,406.8067,-57332.4762,-56925.6695,57333.4266,407.7571,0.3001,408.0572,0.3668,275,0.2,-275,1,0;0.5;0,0,407.6701,0.0,-472.0,-75.0,1,1
185,408.4240,-57334.0936,-56925.6695,57335.0606,409.3911,0.3001,409.6912,0.3668,275,0.2,-275,0.75,0;0.5;0,0,409.2959,0.0,-510.0,-77.0,1,1
186,410.0580,-57335.7275,-56925.6695,57336.4278,410.7583,0.3001,411.0584,0.3668,275,0.2,-275,1,0;0.5;0,0,410.6632,0.0,-544.0,-74.0,1,1
187,411.4253,-57337.0948,-56925.6695,57337.9951,412.3256,0.3001,412.6257,0.3668,-275,0.2,275,0.2082,1;0;0,1,412.2302,0.0,-524.0,-71.0,1,0
188,412.9926,-57338.6621,-56925.6695,57342.1468,416.4773,0.3001,416.7774,0.3668,-275,0,275,0.0082,0;0.5;0,1,416.3904,1.0,483.0,-133.0,1,1
189,417.1442,-57342.8138,-56925.6695,57345.5482,419.8787,0.3001,420.1788,0.3668,275,0,-275,0.0671,1;0;0,0,419.7919,1.0,492.0,-124.0,1,0
190,420.5456,-57346.2151,-56925.6695,57346.7487,421.0792,0.3001,421.3793,0.3668,275,0.45,-275,1,0;0.5;0,0,420.9923,0.0,-502.0,-62.0,1,1
191,421.7461,-57347.4156,-56925.6695,57350.4002,424.7306,0.3001,425.0308,0.3668,-275,0.0167,275,0.0402,1;0;0,1,424.6438,0.0,-455.0,-65.0,1,0
192,425.3976,-57351.0671,-56925.6695,57351.6507,425.9811,0.3001,426.2813,0.3668,275,0.2,-275,0.75,0;0.5;0,0,425.8943,0.0,-477.0,-73.0,1,1
193,426.6481,-57352.3176,-56925.6695,57352.9512,427.2817,0.3001,427.5818,0.3668,-275,0.45,275,1,0;0.5;0,1,427.1948,1.0,513.0,-126.0,1,1
194,427.9486,-57353.6181,-56925.6695,57355.9858,430.3162,0.3001,430.6164,0.3668,275,0,-275,0.001,1;0;0,0,430.2293,1.0,478.0,-131.0,1,0
195,430.9832,-57356.6527,-56925.6695,57357.1529,431.4834,0.3001,431.7835,0.3668,275,0.2,-275,0.2082,0;0.5;0,0,431.3880,0.0,-464.0,-72.0,1,1
196,432.1503,-57357.8198,-56925.6695,57358.5535,432.8839,0.3001,433.1841,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,432.7970,0.0,-476.0,-66.0,1,1
197,433.5509,-57359.2204,-56925.6695,57359.9207,434.2512,0.3001,434.5513,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,434.1643,1.0,503.0,-129.0,1,1
198,434.9181,-57360.5876,-56925.6695,57361.3379,435.6684,0.3001,435.9685,0.3668,-275,0.0088,275,0.0323,0;0.5;0,1,435.5732,1.0,507.0,-128.0,1,1
199,436.3353,-57362.0049,-56925.6695,57362.5717,436.9022,0.3001,437.2024,0.3668,275,0.45,-275,1,0;0.5;0,0,436.8153,0.0,-481.0,-69.0,1,1
200,437.5692,-57363.2387,-56925.6695,57364.0390,438.3695,0.3001,438.6696,0.3668,-275,0.2,275,0.2671,0;0.5;0,1,438.2826,1.0,495.0,-124.0,1,1
201,439.0364,-57364.7059,-56925.6695,57365.3729,439.7034,0.3001,440.0035,0.3668,-275,0.45,275,0.4582,0;0.5;0,1,439.6082,1.0,506.0,-125.0,1,1
202,440.3703,-57366.0398,-56925.6695,57366.6567,440.9872,0.3001,441.2873,0.3668,275,0.2,-275,1,0;0.5;0,0,440.8919,0.0,-482.0,-71.0,1,1
203,441.6542,-57367.3237,-56925.6695,57367.9406,442.2711,0.3001,442.5712,0.3668,-275,0.45,275,1,0;0.5;0,1,442.1842,1.0,520.0,-124.0,1,1
204,442.9380,-57368.6075,-56925.6695,57369.4912,443.8217,0.3001,444.1218,0.3668,-275,0.2,275,0.75,0;0.5;0,1,443.7348,1.0,512.0,-123.0,1,1
205,444.4886,-57370.1582,-56925.6695,57371.0085,445.3390,0.3001,445.6391,0.3668,-275,0.0167,275,0.2088,0;0.5;0,1,445.2438,1.0,513.0,-121.0,1,1
206,446.0059,-57371.6754,-56925.6695,57372.4758,446.8062,0.3001,447.1064,0.3668,275,0.0167,-275,0.0402,0;0.5;0,0,446.7193,0.0,-483.0,-68.0,1,1
207,447.4732,-57373.1427,-56925.6695,57374.4099,448.7404,0.3001,449.0405,0.3668,-275,0,275,0.0235,0;0.5;0,1,448.6452,1.0,509.0,-121.0,1,1
208,449.4073,-57375.0768,-56925.6695,57375.7437,450.0742,0.3001,450.3744,0.3668,275,0.05,-275,0.6,0;0.5;0,0,449.9790,0.0,-489.0,-67.0,1,1
209,450.7412,-57376.4107,-56925.6695,57378.9784,453.3089,0.3001,453.6090,0.3668,275,0,-275,0.0029,1;0;0,0,453.2136,1.0,496.0,-121.0,1,0
210,453.9758,-57379.6453,-56925.6695,57380.1622,454.4927,0.3001,454.7928,0.3668,275,0.2,-275,1,0;0.5;0,0,454.4058,0.0,-486.0,-66.0,1,1
211,455.1596,-57380.8291,-56925.6695,57383.0300,457.3605,0.3001,457.6606,0.3668,-275,0.0167,275,0.0402,1;0;0,1,457.2654,0.0,-457.0,-70.0,1,0
212,458.0275,-57383.6970,-56925.6695,57385.1809,459.5114,0.3001,459.8115,0.3668,-275,0,275,0.0082,1;0;0,1,459.4160,0.0,-472.0,-69.0,1,0
213,460.1783,-57385.8478,-56925.6695,57386.4981,460.8286,0.3001,461.1287,0.3668,275,0.2,-275,0.2671,1;0;0,0,460.7417,1.0,496.0,-118.0,1,0
214,461.4955,-57387.1650,-56925.6695,57387.8820,462.2125,0.3001,462.5126,0.3668,-275,0.45,275,0.4735,0;0.5;0,1,462.1173,1.0,498.0,-121.0,1,1
215,462.8794,-57388.5489,-56925.6695,57389.9495,464.2800,0.3001,464.5801,0.3668,-275,0.2,275,0.2235,0;0.5;0,1,464.1932,1.0,487.0,-124.0,1,1
216,464.9469,-57390.6164,-56925.6695,57392.4672,466.7977,0.3001,467.0978,0.3668,275,0.0088,-275,0.017,1;0;0,0,466.7023,1.0,514.0,-121.0,1,0
